Gender,Sleep_Hours_Per_Night,Screen_Time_Hours,Social_Media_Hours,Attendance_Percentage,Assignments_Completed,Class_Participation_Score,Physical_Activity_Hours_Per_Week,Stress_Level,Motivation_Level,Extracurricular_Involvement,Previous_Semester_GPA,Productivity_Score,Performance_Category,Gender_Encoded,SM_Percentage
Female,Healthy,High,High,91.6,73.0,5.3,Underactive,5.6,9.4,3.9,5.5,68.9,High,0,42.10526315789473
Male,Healthy,Moderate,Moderate,93.8,90.4,4.8,Moderately Active,6.5,4.5,5.1,5.0,65.7,High,1,28.947368421052634
Female,Poor,High,Moderate,82.4,63.7,9.8,Moderately Active,3.5,4.7,7.1,6.8,47.1,Medium,0,23.18840579710145
Female,Poor,High,High,84.3,100.0,3.4,Very Active,7.1,4.4,5.8,7.8,49.8,Medium,0,36.70886075949367
Female,Healthy,High,High,99.0,96.7,8.0,Underactive,2.8,7.4,3.3,7.8,75.8,High,0,84.14634146341464
Male,Healthy,High,High,56.8,59.4,7.5,Very Active,8.0,7.0,0.5,6.6,38.1,Low,1,60.465116279069775
Female,Healthy,High,High,73.1,89.7,4.3,Very Active,3.5,4.5,5.9,7.3,45.9,Low,0,34.11764705882353
Male,Poor,Moderate,High,68.9,60.4,5.2,Moderately Active,6.7,6.4,1.2,5.9,56.6,Medium,1,78.37837837837837
Female,Healthy,High,Moderate,87.0,63.0,5.2,Moderately Active,4.2,8.4,2.1,4.9,59.1,Medium,0,12.222222222222223
Male,Poor,High,High,48.1,90.8,5.7,Very Active,5.2,8.3,3.1,3.4,43.1,Low,1,50.476190476190474
Male,Poor,High,High,78.2,85.1,4.9,Very Active,3.1,6.9,7.5,7.0,53.2,Medium,1,72.22222222222221
Female,Excessive,High,High,56.3,39.9,7.8,Very Active,4.7,4.7,2.6,6.7,38.6,Low,0,59.74025974025974
Female,Poor,High,Low,77.2,48.5,5.6,Very Active,5.5,2.9,7.7,8.8,40.1,Low,0,0.0
Male,Poor,Moderate,High,88.9,68.4,4.8,Very Active,4.2,4.5,3.5,8.4,55.5,Medium,1,70.0
Female,Poor,High,High,79.9,56.3,6.4,Very Active,9.1,7.6,4.9,8.8,51.1,Medium,0,88.00000000000001
Male,Healthy,High,High,95.1,84.2,7.9,Very Active,6.2,2.8,3.4,4.8,52.1,Medium,1,35.82089552238806
Female,Poor,High,High,99.0,46.0,5.9,Underactive,10.0,3.7,1.7,7.3,41.0,Low,0,40.243902439024396
Male,Poor,High,Low,73.8,65.4,9.0,Underactive,5.8,4.3,1.9,5.4,41.1,Low,1,0.0
Female,Poor,High,High,96.0,89.2,1.6,Moderately Active,2.1,4.1,6.2,5.6,52.0,Medium,0,73.4375
Male,Poor,High,Low,51.7,82.2,3.1,Moderately Active,5.0,8.4,6.5,7.9,45.8,Low,1,0.0
Male,Poor,High,High,83.9,50.1,10.0,Underactive,5.5,5.9,3.1,6.6,46.8,Medium,1,38.46153846153847
Female,Poor,High,High,100.0,40.3,5.1,Very Active,9.1,8.5,4.1,4.6,38.9,Low,0,75.32467532467531
Female,Poor,High,High,81.3,55.4,6.7,Very Active,1.6,6.1,5.1,7.5,45.4,Low,0,51.80722891566264
Male,Healthy,High,Low,77.5,35.8,8.8,Underactive,3.5,4.3,3.9,7.6,47.1,Medium,1,2.5974025974025974
Male,Healthy,High,Low,77.5,76.7,6.8,Underactive,6.0,2.9,3.3,7.9,47.4,Medium,1,8.571428571428571
Male,Poor,Moderate,Moderate,99.1,66.7,8.0,Moderately Active,6.2,5.2,4.0,5.5,56.6,Medium,1,79.16666666666666
Female,Healthy,Moderate,High,59.3,68.1,7.4,Very Active,8.3,4.6,6.5,4.4,61.0,Medium,0,93.93939393939394
Male,Poor,High,High,91.0,90.7,7.1,Very Active,3.9,8.2,3.4,5.0,50.6,Medium,1,59.42028985507245
Female,Excessive,Moderate,Moderate,84.1,79.3,7.6,Very Active,7.4,9.1,7.5,7.9,76.2,High,0,39.28571428571429
Female,Healthy,High,High,95.4,71.0,4.7,Underactive,5.4,7.0,5.3,7.3,64.2,High,0,60.29411764705882
Female,Poor,High,High,88.9,62.4,7.2,Moderately Active,7.1,3.9,6.9,6.9,48.7,Medium,0,64.17910447761194
Female,Excessive,High,High,62.8,91.7,2.3,Underactive,4.0,4.2,10.0,8.8,58.0,Medium,0,50.0
Female,Healthy,High,High,53.8,50.0,5.1,Moderately Active,4.9,6.5,5.2,9.0,31.3,Low,0,61.038961038961034
Male,Healthy,High,High,82.3,80.1,6.6,Underactive,4.5,6.3,3.9,5.8,52.7,Medium,1,53.60824742268042
Male,Healthy,High,High,80.8,94.0,9.0,Moderately Active,5.5,8.2,5.9,5.2,72.1,High,1,37.704918032786885
Male,Healthy,High,Moderate,55.8,100.0,3.3,Moderately Active,6.1,5.6,0.1,7.2,46.8,Medium,1,11.214953271028037
Male,Poor,High,Moderate,73.0,76.5,5.2,Very Active,3.9,4.6,1.3,9.3,51.2,Medium,1,25.454545454545453
Female,Poor,High,High,86.3,75.4,10.0,Underactive,6.0,9.8,3.8,7.8,67.3,High,0,50.0
Female,Healthy,High,High,70.9,74.2,1.6,Underactive,4.2,8.4,1.1,8.8,58.1,Medium,0,48.51485148514852
Female,Poor,High,High,88.0,67.4,5.7,Very Active,7.4,4.1,8.7,6.4,32.2,Low,0,56.164383561643824
Female,Poor,High,High,100.0,80.9,7.4,Very Active,5.8,1.0,5.2,5.6,51.8,Medium,0,54.99999999999999
Male,Poor,High,High,74.5,85.9,7.9,Very Active,7.9,8.3,3.3,7.2,48.8,Medium,1,59.01639344262296
Female,Healthy,High,Moderate,87.6,61.1,4.6,Underactive,3.1,7.8,2.3,9.8,63.5,High,0,38.0
Male,Poor,High,Low,73.8,50.3,5.5,Very Active,9.2,1.6,9.5,7.1,40.8,Low,1,11.475409836065573
Female,Healthy,High,High,65.3,93.4,2.4,Very Active,6.7,3.2,2.3,4.0,33.1,Low,0,22.10526315789474
Male,Poor,High,High,100.0,79.5,6.3,Very Active,6.2,6.0,3.2,4.2,53.0,Medium,1,81.63265306122447
Male,Healthy,High,Moderate,94.2,76.4,7.1,Very Active,5.5,4.5,8.5,7.2,72.8,High,1,20.689655172413797
Male,Healthy,High,High,95.8,90.2,9.7,Moderately Active,1.0,1.6,3.7,6.5,74.3,High,1,41.75824175824176
Female,Healthy,High,High,87.2,81.4,9.3,Very Active,3.1,5.0,3.5,5.4,60.4,Medium,0,41.55844155844156
Female,Healthy,High,Moderate,95.7,86.4,4.5,Very Active,1.4,6.5,0.4,6.9,68.8,High,0,25.33333333333333
Male,Healthy,High,High,56.7,65.5,6.9,Very Active,5.2,7.5,5.0,3.7,45.1,Low,1,54.76190476190476
Female,Healthy,High,Low,74.7,84.6,6.9,Moderately Active,8.5,6.9,6.2,6.1,56.5,Medium,0,9.876543209876544
Female,Healthy,High,High,100.0,46.8,7.0,Very Active,6.1,5.0,5.6,9.1,59.5,Medium,0,41.379310344827594
Male,Healthy,High,High,100.0,75.4,5.9,Moderately Active,6.8,7.8,4.1,7.1,54.9,Medium,1,19.469026548672566
Male,Poor,High,High,74.9,88.5,8.5,Very Active,5.0,5.1,0.0,2.4,39.6,Low,1,32.0
Female,Poor,High,Low,88.9,77.6,6.7,Very Active,1.6,6.8,2.2,7.0,68.9,High,0,18.36734693877551
Female,Healthy,High,High,51.9,95.3,4.2,Underactive,7.2,4.1,2.8,4.5,35.5,Low,0,56.79012345679012
Male,Healthy,High,High,90.5,44.8,7.0,Underactive,4.5,4.3,7.1,7.2,48.5,Medium,1,26.13636363636363
Female,Healthy,High,High,49.4,76.6,8.7,Moderately Active,6.6,8.3,3.5,9.5,55.3,Medium,0,59.09090909090909
Male,Healthy,High,High,56.9,74.9,5.3,Underactive,5.3,4.2,5.9,2.4,43.0,Low,1,83.05084745762711
Male,Healthy,Moderate,Moderate,88.5,63.3,5.8,Underactive,8.0,6.9,3.7,3.6,63.4,High,1,51.515151515151516
Female,Healthy,High,High,64.4,72.1,7.1,Very Active,4.4,4.3,0.0,7.8,46.6,Low,0,63.1578947368421
Female,Poor,High,Moderate,80.7,53.2,6.0,Underactive,6.3,6.4,0.0,7.1,55.1,Medium,0,22.36842105263158
Male,Excessive,High,High,63.9,100.0,5.2,Underactive,7.9,6.7,1.6,7.6,47.3,Medium,1,35.44303797468354
Male,Poor,High,Moderate,85.9,91.6,10.0,Underactive,2.3,5.0,3.5,6.2,80.4,High,1,17.1875
Male,Healthy,Low,Moderate,100.0,94.4,2.0,Underactive,5.8,5.0,6.9,7.0,65.5,High,1,94.44444444444444
Female,Poor,High,Low,75.2,47.9,3.4,Moderately Active,5.8,5.2,0.2,5.1,26.9,Low,0,14.285714285714288
Male,Poor,Moderate,Moderate,86.4,58.0,4.8,Underactive,2.8,7.2,1.6,5.1,37.8,Low,1,37.142857142857146
Male,Healthy,High,High,85.1,73.7,8.1,Moderately Active,5.2,4.6,1.3,9.0,56.5,Medium,1,45.34883720930233
Female,Healthy,High,High,90.9,55.2,7.8,Moderately Active,6.0,10.0,6.4,4.0,68.5,High,0,40.54054054054054
Female,Healthy,High,High,72.3,90.0,8.7,Very Active,2.4,1.0,0.0,10.0,74.1,High,0,72.05882352941177
Male,Healthy,Moderate,High,76.4,71.1,3.7,Underactive,3.9,4.0,5.0,7.8,61.6,Medium,1,84.21052631578948
Female,Healthy,High,High,48.1,73.3,7.8,Moderately Active,5.1,7.1,6.8,4.7,45.3,Low,0,60.0
Female,Poor,Moderate,High,88.0,54.7,7.8,Underactive,9.5,9.3,3.8,5.6,60.1,Medium,0,80.76923076923077
Female,Excessive,High,Low,63.0,100.0,3.8,Underactive,4.3,6.7,3.4,8.3,55.7,Medium,0,9.574468085106384
Female,Poor,High,High,82.6,75.9,6.1,Underactive,5.4,5.3,6.0,8.1,61.4,Medium,0,34.78260869565217
Female,Healthy,High,High,68.7,89.2,8.1,Very Active,6.2,8.6,4.7,6.3,65.2,High,0,67.56756756756756
Male,Poor,High,High,92.5,58.6,5.7,Very Active,5.8,4.2,0.0,6.7,40.4,Low,1,50.0
Male,Poor,High,Low,70.4,71.6,9.4,Underactive,2.2,9.2,1.2,5.7,65.5,High,1,3.3333333333333335
Male,Healthy,High,High,80.0,94.9,6.1,Very Active,7.1,2.5,4.6,5.4,58.5,Medium,1,45.833333333333336
Male,Poor,High,High,71.6,39.5,1.8,Moderately Active,3.7,9.6,5.2,7.0,44.9,Low,1,60.0
Female,Poor,High,High,100.0,90.0,8.5,Underactive,4.5,7.8,1.4,6.2,60.7,Medium,0,65.57377049180329
Female,Healthy,High,High,55.9,78.4,3.3,Underactive,3.1,7.9,3.8,8.4,43.6,Low,0,71.66666666666667
Female,Poor,High,High,88.5,72.9,6.3,Moderately Active,7.9,7.4,1.5,5.1,43.6,Low,0,35.964912280701746
Male,Healthy,Moderate,High,78.2,90.5,5.3,Very Active,3.3,7.0,3.6,8.2,73.0,High,1,88.46153846153845
Male,Healthy,High,High,69.3,53.0,5.9,Underactive,4.1,5.5,3.3,5.8,46.5,Low,1,73.17073170731709
Female,Poor,High,Moderate,84.5,83.0,5.0,Moderately Active,5.0,3.2,2.3,5.7,52.7,Medium,0,33.9622641509434
Male,Healthy,High,Low,80.4,80.5,7.1,Underactive,4.0,4.0,5.6,6.7,71.1,High,1,0.0
Female,Healthy,High,Low,97.2,100.0,5.5,Underactive,6.1,6.6,8.1,7.7,64.1,High,0,0.0
Female,Healthy,High,High,65.3,68.4,7.4,Underactive,1.3,6.2,4.5,5.6,67.5,High,0,43.74999999999999
Female,Poor,Moderate,High,73.3,75.8,5.2,Very Active,3.5,4.3,1.7,5.6,48.7,Medium,0,74.99999999999999
Female,Poor,High,Moderate,93.2,73.8,8.5,Very Active,3.8,4.7,1.9,8.5,69.0,High,0,38.46153846153846
Female,Healthy,High,High,77.3,65.7,6.0,Underactive,3.6,5.9,1.8,8.6,43.8,Low,0,51.562499999999986
Male,Healthy,High,High,87.1,100.0,6.0,Moderately Active,8.5,4.6,4.2,7.6,63.6,High,1,86.66666666666667
Male,Excessive,High,High,87.3,47.7,3.5,Underactive,4.4,7.8,5.1,8.2,45.1,Low,1,45.652173913043484
Male,Poor,High,High,75.4,62.0,3.1,Underactive,7.7,5.9,2.6,6.7,21.2,Low,1,38.88888888888889
Male,Healthy,High,High,82.0,86.4,6.0,Underactive,6.1,6.2,2.5,8.3,60.8,Medium,1,49.23076923076923
Male,Healthy,High,High,77.4,77.6,7.6,Moderately Active,2.7,5.2,1.9,9.2,63.2,High,1,45.88235294117647
Female,Healthy,High,High,63.3,37.9,4.2,Very Active,5.4,7.9,10.0,6.5,35.0,Low,0,27.731092436974787
Female,Healthy,High,Moderate,79.0,78.5,5.7,Underactive,1.7,4.9,7.1,6.9,58.7,Medium,0,28.57142857142857
Female,Poor,Moderate,Moderate,78.8,100.0,2.2,Underactive,8.1,6.4,3.6,6.2,47.8,Medium,0,62.5
Male,Healthy,High,Low,74.9,95.5,6.1,Very Active,7.5,8.2,3.0,6.4,68.3,High,1,0.0
Male,Healthy,High,High,76.0,48.3,6.8,Moderately Active,6.7,10.0,3.2,10.0,57.5,Medium,1,51.19047619047619
Female,Healthy,High,Moderate,78.5,94.1,6.7,Moderately Active,8.3,8.3,2.7,8.0,67.7,High,0,30.76923076923077
Male,Healthy,High,High,99.0,51.6,10.0,Underactive,6.7,5.2,,6.4,59.1,Medium,1,82.81249999999999
Male,Excessive,High,High,51.4,90.0,4.3,Very Active,3.4,6.1,3.8,5.9,46.4,Low,1,57.627118644067785
Male,Healthy,Moderate,High,89.1,100.0,8.4,Very Active,5.9,6.0,7.6,4.6,76.3,High,1,92.3076923076923
Female,Poor,Moderate,Moderate,78.9,100.0,5.9,Very Active,8.9,6.3,5.2,4.0,66.3,High,0,44.00000000000001
Male,Poor,High,High,79.2,67.9,7.0,Very Active,4.3,5.4,5.7,8.0,62.2,Medium,1,50.56179775280899
Female,Poor,High,High,74.7,87.7,4.6,Moderately Active,4.8,6.4,7.6,7.6,55.0,Medium,0,35.36585365853659
Male,Poor,High,High,86.5,93.2,4.5,Moderately Active,6.3,1.0,0.1,6.7,45.5,Low,1,40.69767441860465
Male,Poor,High,High,55.3,44.9,2.8,Underactive,5.5,7.6,6.7,5.6,23.4,Low,1,62.5
Male,Healthy,High,Moderate,100.0,77.8,7.5,Very Active,3.6,10.0,1.9,7.9,73.6,High,1,16.483516483516482
Female,Poor,High,High,81.4,75.0,10.0,Underactive,5.7,5.2,1.0,4.7,55.0,Medium,0,51.13636363636363
Male,Healthy,High,High,61.9,59.5,5.0,Moderately Active,6.9,3.4,6.4,9.4,56.9,Medium,1,80.0
Female,Healthy,High,High,97.7,91.2,6.1,Very Active,2.5,5.9,3.6,4.5,74.7,High,0,72.88135593220339
Female,Poor,Moderate,High,80.9,82.1,2.0,Underactive,5.3,6.7,4.9,5.7,36.7,Low,0,71.87499999999999
Male,Poor,High,High,100.0,82.7,9.2,Underactive,5.7,7.2,1.8,9.2,58.6,Medium,1,73.97260273972603
Female,Excessive,High,High,78.0,37.1,8.9,Very Active,5.6,8.1,,9.3,62.4,Medium,0,32.22222222222222
Female,Healthy,High,High,94.7,74.2,10.0,Underactive,9.5,6.5,2.6,5.4,56.8,Medium,0,70.0
Female,Healthy,High,Moderate,78.0,68.1,1.1,Underactive,4.6,5.0,6.5,7.0,31.2,Low,0,11.926605504587156
Female,Poor,High,Moderate,84.5,75.5,3.0,Underactive,2.9,2.8,7.2,7.4,48.9,Medium,0,20.212765957446805
Male,Poor,High,Low,84.6,53.9,7.3,Moderately Active,8.7,5.3,2.1,6.7,32.2,Low,1,10.256410256410257
Male,Poor,High,High,92.0,81.7,4.3,Underactive,4.3,7.8,2.6,7.9,63.7,High,1,48.61111111111111
Female,Poor,High,High,89.6,100.0,7.5,Underactive,6.4,6.5,5.1,7.5,55.5,Medium,0,38.46153846153847
Male,Healthy,High,High,95.1,75.8,4.8,Very Active,9.2,7.8,6.7,6.5,56.6,Medium,1,54.16666666666667
Male,Poor,High,High,64.6,57.9,4.7,Moderately Active,2.9,7.3,0.7,6.2,38.3,Low,1,54.54545454545454
Female,Poor,High,High,85.1,100.0,3.8,Very Active,5.2,1.0,2.6,4.0,19.6,Low,0,44.44444444444444
Male,Poor,High,High,79.0,90.4,3.7,Very Active,7.6,10.0,6.3,6.0,50.5,Medium,1,71.42857142857143
Male,Poor,High,Moderate,62.0,78.0,4.3,Moderately Active,7.4,3.0,5.9,6.4,37.8,Low,1,27.999999999999996
Female,Healthy,High,High,76.5,55.7,4.4,Underactive,8.5,8.3,5.6,5.7,50.6,Medium,0,72.91666666666667
Male,Healthy,High,High,84.9,46.1,7.7,Underactive,2.4,2.9,6.9,6.5,56.2,Medium,1,48.648648648648646
Male,Poor,High,Moderate,69.8,67.6,6.8,Very Active,3.5,6.4,7.8,6.2,46.1,Low,1,24.489795918367342
Female,Poor,High,Moderate,100.0,48.1,9.9,Moderately Active,4.3,9.4,6.5,6.9,46.3,Low,0,13.888888888888888
Male,Poor,High,High,93.3,84.9,7.4,Underactive,4.8,5.4,3.2,8.7,43.5,Low,1,44.3298969072165
Male,Healthy,High,Low,66.9,50.8,5.9,Very Active,5.0,5.5,5.3,7.8,62.3,Medium,1,6.060606060606061
Male,Healthy,High,High,77.7,68.5,5.6,Underactive,7.5,6.0,3.7,6.7,64.7,High,1,53.84615384615385
Female,Healthy,High,Low,70.2,63.0,4.7,Moderately Active,8.0,7.4,5.4,3.8,44.5,Low,0,0.0
Female,Excessive,Moderate,High,93.5,83.6,4.9,Underactive,7.3,7.1,4.4,5.9,53.0,Medium,0,62.5
Female,Healthy,High,High,84.2,45.9,8.3,Very Active,6.5,3.3,1.2,6.1,45.2,Low,0,46.26865671641791
Female,Poor,High,Low,81.5,92.7,3.6,Very Active,4.1,4.6,0.0,6.6,65.9,High,0,0.0
Male,Poor,Moderate,Moderate,97.7,97.1,6.3,Underactive,3.7,6.3,1.3,5.5,78.8,High,1,31.57894736842105
Female,Poor,High,High,80.2,72.4,5.9,Underactive,7.2,6.0,0.6,5.4,41.0,Low,0,43.28358208955223
Male,Poor,High,High,93.4,50.8,2.9,Underactive,5.7,6.7,0.0,5.3,36.4,Low,1,32.91139240506329
Female,Healthy,Moderate,High,100.0,37.3,7.8,Underactive,3.5,9.2,6.1,5.0,70.3,High,0,72.97297297297297
Female,Poor,High,High,81.8,94.7,3.1,Underactive,5.5,6.0,7.9,6.6,56.6,Medium,0,48.61111111111111
Male,Healthy,High,High,98.7,54.1,9.3,Very Active,4.4,4.9,8.1,8.5,76.6,High,1,48.979591836734684
Female,Healthy,High,Moderate,81.7,55.3,7.1,Very Active,4.1,7.3,5.5,5.3,63.0,Medium,0,27.536231884057965
Female,Poor,High,Low,71.7,96.3,6.7,Very Active,4.2,4.7,1.7,6.6,50.8,Medium,0,0.0
Female,Poor,High,High,91.3,78.0,9.0,Underactive,4.8,3.9,3.8,9.0,68.1,High,0,40.32258064516129
Male,Poor,High,High,87.4,57.6,5.4,Very Active,6.8,10.0,0.9,7.9,68.2,High,1,52.702702702702695
Male,Poor,High,High,91.1,100.0,10.0,Very Active,5.2,7.6,1.8,7.9,83.8,High,1,58.92857142857143
Female,Poor,High,High,89.1,93.8,7.1,Moderately Active,9.1,4.8,2.2,6.7,53.6,Medium,0,47.14285714285714
Male,Healthy,High,High,82.7,84.9,6.3,Moderately Active,5.3,8.5,0.0,6.5,62.5,Medium,1,34.78260869565217
Female,Healthy,High,High,83.4,65.0,2.0,Very Active,3.2,5.1,4.0,8.1,61.0,Medium,0,61.702127659574465
Male,Healthy,High,Low,89.1,97.3,8.1,Very Active,6.0,3.0,0.0,4.6,60.8,Medium,1,19.607843137254903
Female,Poor,High,High,61.2,90.9,7.2,Very Active,10.0,4.8,3.8,5.9,41.5,Low,0,40.0
Female,Excessive,High,High,97.3,73.1,5.5,Underactive,5.5,4.3,4.9,5.1,41.6,Low,0,20.0
Female,Healthy,High,Low,85.8,94.6,4.9,Moderately Active,1.7,4.6,5.2,6.8,66.6,High,0,11.11111111111111
Female,Healthy,High,Low,82.4,79.9,4.2,Very Active,6.2,6.0,5.1,6.8,65.5,High,0,3.3333333333333335
Male,Healthy,High,High,97.1,54.4,6.8,Underactive,1.3,7.5,7.6,7.5,76.5,High,1,82.97872340425532
Female,Healthy,High,High,83.8,56.6,6.1,Very Active,9.1,5.6,7.2,8.2,54.4,Medium,0,66.12903225806451
Male,Healthy,High,High,70.5,46.5,7.5,Underactive,4.6,5.5,3.3,7.2,53.7,Medium,1,34.42622950819673
Male,Healthy,High,High,63.4,98.8,1.8,Underactive,1.0,6.9,2.1,6.7,55.5,Medium,1,53.846153846153854
Male,Healthy,High,Moderate,100.0,48.7,7.5,Very Active,10.0,5.5,8.9,5.0,51.8,Medium,1,21.73913043478261
Male,Healthy,High,Moderate,57.4,74.2,9.5,Very Active,8.7,6.0,3.6,4.4,54.5,Medium,1,31.666666666666664
Male,Healthy,High,High,72.4,100.0,3.9,Underactive,3.5,8.1,6.8,4.8,67.5,High,1,41.09589041095891
Female,Healthy,High,Moderate,93.6,54.1,7.2,Underactive,5.3,5.8,5.5,9.0,62.2,Medium,0,14.942528735632186
Male,Healthy,High,High,100.0,46.8,7.5,Moderately Active,5.5,7.9,4.7,5.7,61.0,Medium,1,59.183673469387756
Female,Healthy,High,High,78.4,90.7,7.6,Underactive,2.4,9.3,7.3,4.9,80.4,High,0,66.66666666666666
Male,Healthy,High,High,75.9,75.3,9.9,Underactive,6.6,7.6,2.2,9.0,76.9,High,1,72.3076923076923
Male,Healthy,High,High,72.3,73.8,7.7,Very Active,2.4,3.6,1.2,6.2,56.3,Medium,1,52.63157894736842
Female,Healthy,High,High,75.2,89.6,3.1,Underactive,4.0,1.8,9.1,5.5,47.0,Medium,0,34.61538461538462
Male,Healthy,High,High,89.3,64.0,7.5,Underactive,5.1,7.8,1.5,9.0,63.3,High,1,38.33333333333333
Female,Healthy,High,High,57.6,94.6,5.9,Moderately Active,5.2,7.0,2.7,6.1,57.5,Medium,0,30.927835051546392
Female,Healthy,Moderate,Moderate,70.3,80.3,7.2,Underactive,7.5,6.5,4.9,3.6,60.9,Medium,0,76.92307692307692
Female,Poor,High,Moderate,99.4,46.7,8.6,Underactive,5.5,6.2,5.5,7.9,64.4,High,0,24.285714285714285
Male,Healthy,High,High,78.8,100.0,9.6,Very Active,6.3,8.0,7.6,4.6,63.7,High,1,40.845070422535215
Female,Healthy,High,Moderate,72.6,78.3,6.2,Very Active,7.9,4.4,2.0,4.2,53.4,Medium,0,24.137931034482758
Female,Healthy,Moderate,Moderate,63.4,68.9,7.8,Very Active,6.5,9.3,0.0,6.5,70.9,High,0,38.46153846153847
Female,Healthy,High,High,64.8,78.0,3.6,Very Active,3.3,7.5,5.3,5.3,53.2,Medium,0,48.958333333333336
Female,Poor,High,Moderate,69.3,72.2,4.8,Very Active,4.4,3.9,4.4,5.5,53.3,Medium,0,18.333333333333336
Male,Poor,High,High,90.5,89.2,8.3,Very Active,8.0,3.9,3.4,3.7,41.8,Low,1,86.88524590163935
Male,Excessive,High,High,67.3,87.4,9.8,Underactive,4.0,7.3,8.3,7.7,61.3,Medium,1,42.59259259259259
Male,Healthy,High,High,78.4,86.2,10.0,Very Active,6.3,6.8,4.9,5.6,64.3,High,1,51.886792452830186
Male,Healthy,High,Low,79.1,64.2,7.9,Underactive,4.1,4.7,1.7,5.8,52.6,Medium,1,12.5
Male,Poor,High,High,70.2,59.5,8.5,Very Active,1.9,6.0,0.0,5.8,61.8,Medium,1,59.61538461538461
Male,Healthy,High,High,81.0,82.0,2.2,Very Active,5.7,8.2,0.0,5.6,58.2,Medium,1,80.0
Male,Excessive,High,Moderate,52.5,88.9,2.1,Underactive,6.2,7.8,1.6,6.9,50.3,Medium,1,25.454545454545453
Male,Poor,High,High,85.8,70.9,3.2,Underactive,7.1,7.6,4.6,5.4,57.4,Medium,1,29.87012987012987
Female,Healthy,High,Moderate,82.8,73.3,9.8,Underactive,5.4,7.4,4.7,7.6,60.4,Medium,0,33.33333333333333
Female,Healthy,High,High,82.0,74.2,6.0,Very Active,3.2,2.8,3.2,5.5,41.4,Low,0,96.61016949152543
Male,Excessive,High,High,81.2,94.7,4.4,Underactive,6.6,8.5,0.0,8.2,65.0,High,1,68.0
Male,Poor,High,Moderate,71.8,76.6,5.6,Very Active,6.2,8.3,5.6,0.0,45.9,Low,1,14.285714285714288
